	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
fadE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fba	0.00	0.00	0.00	0.00	0.00	407.00	415.00	208.00	315.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	94.00	0.00	154.00	0.00
fdhD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	52.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
femA	0.00	0.00	39.00	0.00	0.00	51.00	143.00	68.00	36.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	73.00	0.00	0.00	0.00
femB	0.00	0.00	0.00	0.00	0.00	39.00	92.00	108.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.00	0.00	0.00	0.00
feoA	0.00	0.00	0.00	0.00	0.00	0.00	71.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
feoB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	10.00	0.00
ffh	0.00	0.00	39.00	0.00	0.00	0.00	64.00	115.00	126.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	113.00	0.00	25.00	0.00
fmhA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fmt	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.00	0.00	25.00	0.00
fmtB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fnbA	0.00	0.00	0.00	0.00	0.00	63.00	77.00	268.00	133.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	147.00	0.00	0.00	0.00
fnbB	0.00	0.00	0.00	0.00	0.00	97.00	66.00	130.00	67.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	160.00	0.00	0.00	0.00
